key,name,category,legacy_line,price,disposition,geometry_policy,reason,conversion_status
pendulum,Titan Pendulum,rides,4447,1550.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
helix,Helix Spinner,rides,4447,1120.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
skyride,Sky Glider,rides,4447,1380.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
tram,Park Tram Route Builder,rides,4447,1800.0,PRESERVE_CUSTOM_SYSTEM,protect,Custom/route engineering is a protected system and reference implementation.,NOT_STARTED
train,Park Railway Route Builder,rides,4448,2400.0,PRESERVE_CUSTOM_SYSTEM,protect,Custom/route engineering is a protected system and reference implementation.,NOT_STARTED
monorail,Park Monorail Route Builder,rides,4449,2200.0,PRESERVE_CUSTOM_SYSTEM,protect,Custom/route engineering is a protected system and reference implementation.,NOT_STARTED
rapids,Thunder Rapids,rides,4449,1850.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
darkride,Phantom Circuit,rides,4449,1450.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
flyingcarpet,Flying Carpet,rides,4449,760.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
cloudcarousel,Cloud Carousel,rides,4450,420.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
ladybugride,Ladybug Roundabout,rides,4451,390.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
duckboats,Duckling Boats,rides,4452,460.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
storybooktrain,Storybook Train,rides,4453,520.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
